,input
1405,"As a CONNECT developer I want to work on testing improvements for regression, interoperability and performance testing so that coverage levels are improved
"
1406,"As a CONNECT user I would like to have auditing be handled by Proxy Implementation classes investigated for performance improvements	
"
1407,"As an academicpublisher, I want to make persistent web links between my articles and underlying datasets, so that my journals can be seen to be filled with robust, high quality research. 
"
1408,"As a CONNECT adopter, I want the ability to load test data (patients and documents) via the AdminGUI	
"
1409,"As a member, I want to receive a reminder and a link, so that I can renew my membership.	
"
1410,"As a user researcher, I want to conduct a user definition workshop with NSF, so that I can better prepare them and the team for future research work.
"
1411,"As a Machine Learning expert, I would like to package ML datasets as data packages, so that I can easily import them into my ML platform, so that I can start using the data in doing analysis.	
"
1412,"As a researcher, I want to access educational outreach materials, so that I can make connections with institutions.
"
1413,"As a CONNECT Adapter, I want to be able to respond to requests and receive responses to requests asynchronously in addition to synchronously	
"
1414,"As a depositor, I want to allow others to deposit on my behalf, so that I can delegate research data management tasks appropriately.
"
1415,"As a user, I don't want to see NASA grants displayed as contracts.
"
1416,"As a CONNECT adopter using Direct, I want all delivery notifications sent or received from the remote STA or the edge to be logged in the CONNECT event logs so that I can troubleshoot and track message delivery	
"
1417,"As an OlderPerson, I want to use ALFRED to learn about art expositions or a museum. 
"
1418,"As a Data Publishing User, I want to know what my data needs to be able to be visualised on a map, So that I can visualise it on a map.
"
1419,"As a CONNECT developer, I would like to script JBoss to automatically deploy and test via CI so that the validation tests are run at checkin and errors are caught earlier in the development process	
"
1420,"As a CONNECT adopter using Direct transport, I want CONNECT to be kept up to date with the Direct Reference Implementation and Direct Implementation guides so that the community can make use of success/failure delivery notifications and trust bundles	
"
1421,"As a federal partner, I want know that upgrading CONNECT won't break my current ability to exchange information and my working adapters in order to lower the hurdles to upgrading (User Story: U0005)	
"
1422,"As a Researcher, I want to be able to reference a remote-controlled vocabulary for my dataset, so that I can be sure that column of my dataset are valid against a single shard list of terms. 
"
1423,"As a FABS user, I do not want  DABS banner messages and vice versa, so that I have the appropriate information for my application.
"
